symbol,signal_date,entry_date,entry_price,qty,size_inr,initial_stop,current_stop,highest_close,atr_at_entry,status,exit_date,exit_price,exit_reason,realized_pnl_inr,realized_pct
NESTLEIND,20260612,2026-06-15,1410.0,3,4230.0,1312.63,1370.6,1414.8,33.1,open,,,,,
ONGC,20260612,2026-06-15,248.05,21,5209.05,230.7,242.8,248.05,7.74,closed,2026-06-26,242.8,STOP_LOSS,-110.25,-0.0212
HINDALCO,20260612,2026-06-15,1039.2,5,5196.0,954.83,970.0,1039.2,33.76,closed,2026-06-26,970.0,STOP_LOSS,-346.0,-0.0666
ANTHEM,20260612,2026-06-15,798.0,6,4788.0,746.09,750.0,798.1,22.5,open,,,,,
HSCL,20260612,2026-06-15,690.0,7,4830.0,612.19,612.19,690.3,34.34,open,,,,,
ADANIPORTS,20260612,2026-06-15,1839.0,2,3678.0,1729.61,1744.3,1842.1,43.14,open,,,,,
TATASTEEL,20260612,2026-06-15,199.96,26,5198.96,187.26,193.31,200.52,5.48,closed,2026-06-26,193.31,STOP_LOSS,-172.9,-0.0333
LAURUSLABS,20260612,2026-06-15,1414.0,3,4242.0,1324.47,1331.242857142857,1450.0,35.79,open,,,,,
VIJAYA,20260612,2026-06-15,1300.0,4,5200.0,1159.03,1214.0928571428572,1367.8,64.73,open,,,,,
CROMPTON,20260612,2026-06-15,260.45,20,5209.0,240.49,255.56428571428575,277.1,8.37,open,,,,,
NYKAA,20260612,2026-06-15,276.45,19,5252.55,259.14,279.75,304.35,7.11,open,,,,,
SHYAMMETL,20260612,2026-06-15,986.4,5,4932.0,934.19,934.19,986.4,25.59,closed,2026-06-26,934.19,STOP_LOSS,-261.05,-0.0529
AUROPHARMA,20260612,2026-06-15,1462.5,3,4387.5,1405.17,1446.3,1555.2,38.34,open,,,,,
GRANULES,20260619,2026-06-22,790.0,11,8690.0,739.31,739.31,790.0,24.04,open,,,,,
RADICO,20260619,2026-06-22,3770.0,2,7540.0,3604.1,3604.1,3829.8,81.47,open,,,,,
ATUL,20260619,2026-06-22,6500.0,1,6500.0,6181.43,6401.5,6670.5,142.71,open,,,,,
MARICO,20260619,2026-06-22,821.05,11,9031.55,783.09,796.0,825.8,16.6,open,,,,,
MANKIND,20260619,2026-06-22,2426.1,3,7278.3,2309.03,2309.03,2462.3,59.36,open,,,,,
RAINBOW,20260619,2026-06-22,1475.0,6,8850.0,1394.19,1394.19,1475.0,38.1,open,,,,,
