symbol,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,days_held,pnl_inr,pnl_pct,r_multiple
ONGC,2026-06-15,248.05,21.0,2026-06-26,242.8,STOP_LOSS,11,-110.25,-0.0212,-0.3
HINDALCO,2026-06-15,1039.2,5.0,2026-06-26,970.0,STOP_LOSS,11,-346.0,-0.0666,-0.82
TATASTEEL,2026-06-15,199.96,26.0,2026-06-26,193.31,STOP_LOSS,11,-172.9,-0.0333,-0.52
SHYAMMETL,2026-06-15,986.4,5.0,2026-06-26,934.19,STOP_LOSS,11,-261.05,-0.0529,-1.0
RAINBOW,2026-06-22,1475.0,6.0,2026-06-29,1394.19,STOP_LOSS,7,-484.86,-0.0548,-1.0
HINDALCO,2026-06-29,952.1,9.0,2026-06-30,948.8,STOP_LOSS,1,-29.7,-0.0035,-0.06
CGPOWER,2026-06-29,960.1,9.0,2026-07-03,902.68,STOP_LOSS,4,-516.79,-0.0598,-0.87
CUMMINSIND,2026-07-06,5479.0,1.0,2026-07-07,5424.0,STOP_LOSS,1,-55.0,-0.01,-0.18
ANTHEM,2026-06-15,798.0,6.0,2026-07-08,750.0,STOP_LOSS,23,-288.0,-0.0602,-0.92
CROMPTON,2026-06-15,260.45,20.0,2026-07-08,257.85,STOP_LOSS,23,-52.07,-0.01,-0.13
ATUL,2026-06-22,6500.0,1.0,2026-07-08,6401.5,STOP_LOSS,16,-98.5,-0.0152,-0.31
ELGIEQUIP,2026-07-06,571.5,16.0,2026-07-08,571.1,STOP_LOSS,2,-6.4,-0.0007,-0.01
SHYAMMETL,2026-07-06,965.0,9.0,2026-07-08,933.0,STOP_LOSS,2,-288.0,-0.0332,-0.57
NESTLEIND,2026-06-15,1410.0,3.0,2026-07-10,1455.2,TIME_STOP,25,135.6,0.0321,0.46
HSCL,2026-06-15,690.0,7.0,2026-07-10,660.45,TIME_STOP,25,-206.85,-0.0428,-0.38
ADANIPORTS,2026-06-15,1839.0,2.0,2026-07-10,1828.1,TIME_STOP,25,-21.8,-0.0059,-0.1
LAURUSLABS,2026-06-15,1414.0,3.0,2026-07-10,1537.8,TIME_STOP,25,371.4,0.0876,1.38
VIJAYA,2026-06-15,1300.0,4.0,2026-07-10,1389.1,TIME_STOP,25,356.4,0.0685,0.63
NYKAA,2026-06-15,276.45,19.0,2026-07-10,330.1,TIME_STOP,25,1019.35,0.1941,3.1
AUROPHARMA,2026-06-15,1462.5,3.0,2026-07-10,1564.7,TIME_STOP,25,306.6,0.0699,1.78
GRANULES,2026-06-22,790.0,11.0,2026-07-17,880.8,TIME_STOP,25,998.8,0.1149,1.79
RADICO,2026-06-22,3770.0,2.0,2026-07-17,4097.9,TIME_STOP,25,655.8,0.087,1.98
MARICO,2026-06-22,821.05,11.0,2026-07-17,844.0,TIME_STOP,25,252.45,0.028,0.6
MANKIND,2026-06-22,2426.1,3.0,2026-07-17,2484.2,TIME_STOP,25,174.3,0.0239,0.5
PREMIERENE,2026-07-13,1114.9,8.0,2026-07-20,1050.57,STOP_LOSS,7,-514.64,-0.0577,-1.0
GRANULES,2026-07-20,880.8,10.0,2026-07-22,832.94,STOP_LOSS,2,-478.6,-0.0543,-1.0
ANTHEM,2026-07-20,777.0,12.0,2026-07-22,744.8,STOP_LOSS,2,-386.4,-0.0414,-1.0
CGPOWER,2026-07-06,900.0,10.0,2026-07-23,887.1,STOP_LOSS,17,-129.0,-0.0143,-0.2
HONASA,2026-06-29,420.3,22.0,2026-07-24,448.6,TIME_STOP,25,622.6,0.0673,0.84
WELCORP,2026-06-29,1465.0,6.0,2026-07-24,1596.9,TIME_STOP,25,791.4,0.09,1.32
SONACOMS,2026-06-29,619.25,15.0,2026-07-24,717.95,TIME_STOP,25,1480.5,0.1594,3.55
APOLLOHOSP,2026-06-29,8700.0,1.0,2026-07-24,8805.5,TIME_STOP,25,105.5,0.0121,0.29
FORTIS,2026-07-13,961.85,9.0,2026-07-24,935.6,STOP_LOSS,11,-236.25,-0.0273,-0.64
PIDILITIND,2026-07-20,1560.0,5.0,2026-07-24,1547.4,STOP_LOSS,4,-63.0,-0.0081,-0.23
CGPOWER,2026-07-27,871.8,6.0,2026-07-28,830.15,STOP_LOSS,1,-249.9,-0.0478,-0.73
CUMMINSIND,2026-07-20,5438.0,1.0,2026-07-29,5381.0,STOP_LOSS,9,-57.0,-0.0105,-0.2
ADANIPORTS,2026-07-27,1784.0,2.0,2026-07-29,1752.1,STOP_LOSS,2,-63.8,-0.0179,-0.36
NAVINFLUOR,2026-07-06,7579.5,1.0,2026-07-31,7567.5,TIME_STOP,25,-12.0,-0.0016,-0.03
IPCALAB,2026-07-06,1798.5,5.0,2026-07-31,1747.8,TIME_STOP,25,-253.5,-0.0282,-0.43
SAILIFE,2026-07-13,1269.0,7.0,2026-08-07,1365.2,TIME_STOP,25,673.4,0.0758,1.11
BHARATFORG,2026-08-03,2218.0,2.0,2026-08-10,2132.81,STOP_LOSS,7,-170.37,-0.0384,-0.76
APOLLOHOSP,2026-08-10,8945.0,1.0,2026-08-11,8673.64,STOP_LOSS,1,-271.36,-0.0303,-1.0
ADANIPORTS,2026-08-03,1713.4,3.0,2026-08-12,1650.0,STOP_LOSS,9,-190.2,-0.037,-0.65
LUPIN,2026-08-10,2360.0,5.0,2026-08-12,2250.39,STOP_LOSS,2,-548.05,-0.0464,-1.0
